"text","label"
"Hàng tốt i như trong hình","Positive"
"Giao hàng khá chậm","Negative"
"Áo đẹp, hơi mỏng","Neutral"
"Đúng hàng loại 1 có khác từ cách đóng gói đến chất lượng sản phẩm quá tốt","Positive"
"Chất lượng sản phẩm tuyệt vời , ngon bổ re shop a","Positive"
"Màn hình to và khá là hd","Positive"
"Áo khá mỏng và cụt hơn mình nghĩ Đóng gói sản phẩm ok","Negative"
"Quần chưa kịp mặc đã bục 1 đoạn","Negative"
"Mình 48kg","Neutral"
"Mình mua sp chất giống ảnh, gói hàng đẹp, giao hàng nhanh, giá cả hợp lý","Positive"
"Chất áo thì k phải lăn tănnn luôn nhưng form hơi to","Positive"
"Shop còn có quà tặng kèm và thẻ tích điểm","Positive"
"Mạng chạy chậm quá","Negative"
"Vừa khít bụng mình mà không bị hằn,cấn","Positive"
"Mua lần 2","Positive"
"Chất lượng sản phẩm tốt","Positive"
"Rất ưng ý 🤪❤️❤️","Positive"
"Hàng thì siêu yêu, siêu mềm mịn","Positive"
"Chất liệu vải tốt so với giá ( 100k)","Positive"
"Chất lượng sản phẩm tạm được Thời gian giao hàng tạm được Đóng gói sản phẩm tạm được","Neutral"
"Đóng gói kĩ , áo còn lại đẹp","Positive"
"Giao nhầm hàng , ib shop k trả lời 😓😓😓","Negative"
"Màu bạc rất sáng, lấp lánh hơn màu hồng","Positive"
"Chất áo dày dặn, form áo đẹp","Positive"
"Ống quần bên to bên nhỏ size s và l bằng nhau","Negative"
"Đóng gói gọn gàng đẹp đẽ Chất lượng sản phẩm tuyệt vời Rất đáng tiền Thời gian giao hàng rất nhanh","Positive"
"Chất lượng sản phẩm tương xứng giá tiền, mua mặc thay đổi kiểu thì ok","Positive"
"Ốc hơi lỏng cho thêm cái vặn vít k đang bao nhiêu nhưng quý hơn cái dây kia bạn ạ..","Neutral"
"Chất lượng sản phẩm tuyệt vời","Positive"
"Shop phục vụ rất tốt, hết mẫu mình đặt còn gọi lại để đổi sang loại khác dù giá cao hơn nhưng vẫn lấy =giá sale.hàng rất oke.thanks shop 😄","Positive"
"Ren hơi mềm nên làm dáng áo ko được cứng, nâng ngực tạm đc","Positive"
"Giao hàng lâu","Negative"
"Sz 34 mà Khung ngực nhỏ quá","Negative"
"Đóng gói sản phẩm rất đẹp và chắc chắn","Positive"
"Hàng y hình rất đẹp ạ ❤️","Positive"
"Thái đô kém Thời gian giao hàng rất chậm Shop phục vụ rất kém","Negative"
"Bàn tay mỏng nên ko nâng lắm","Negative"
"Đẹp lắm đấy","Positive"
"Áo giống hình, chất vải hơi nóng","Positive"
"Đóng gỏi không cẩn thận, shop nên đong hộp cứng đỡ bị móp bẹp túi","Negative"
"Giao hàng nhanh. .mua sp thì hỏi kĩ trước tránh thất vọng","Neutral"
"Đóng gói sản phẩm rất đẹp và chắc chắc","Positive"
"Thời gian giao hàng rất nhanh, dầy dặn, đẹp","Positive"
"có giống hình nhưng vải rất mỏng không đúng như trong hình . giá tiền tương đương với sản phẩm","Negative"
"Chủ shop tư vấn rất nhiệt tình, đầm lên form rất đẹp, hợp với dáng mình, còn đc tặng kèm qà","Positive"
"Váy còn đẹp và chuẩn hơn trong hình nữa","Positive"
"Sz 2 bộ xanh và hồng ko giống nhau","Negative"
"Áo rẻ đẹp phù hợp giá tiền","Positive"
"Áo vải cực đẹp, y hình, có điều to hơn mong đợi...","Positive"
"Chất lượng sản phẩm tuyệt vời","Positive"
"Chất lượng sản phẩm tuyệt vời đồ rất đẹp sẽ ủng hộ shop tiếp","Positive"
"Sản phản mới.Chất lượng sản phẩm tuyệt vời","Positive"
"Giao hàng nhanh.👍👍","Positive"
"Rất ngon nhưng mà theo em thì nên xé nhỏ khô lại","Positive"
"Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh❤️👍🙈","Positive"
"Chất ok á..nhưng rep ib thì hơi lâu","Positive"
"Luôn ủng hộ shop","Positive"
"Âm thanh rất dở","Negative"
"Xấu và nhìn phom áo chán đời luôn","Negative"
"Chất lượng sản phẩm tốt Đáng đồng tiền","Positive"
"Chuẩn quần vải đẹp ôm gọn chân, mà vải còn mát nữa","Positive"
"Shop vận chuyển hàng nhanh, váy khá ổn, mà còn đc tặng quà nữa hihi lắc tay nhỏ nhỏ xinh xinh khi nào đeo cho bé nhà 😍😍","Positive"
"Nhìn cái áo cũ màu không đẹp vãi mỏng không đág tiền lắm","Negative"
"Đập vào mắt là 175000₫ làm mất hứng .Sản phẩm được. màu đậm hơn hình.áo có mùi như thuốc tẩy giặt mãi ko hết","Negative"
"Chuẩn hàng Bitis","Positive"
"Màu ko đẹp như hình chup","Negative"
"Hàng đẹp giao nhanh","Positive"
"Chất lượng sản phẩm tuyệt vời , vải ok , thích hợp cho những ai thích mang form rộng lắm nè","Positive"
"Hợp với giá 130k","Positive"
"Form áo xấu lắm, mặc lên như tá điền, chỗ tà áo bên dưới rất dài chứ ko ngăn như ảnh mẫu mặc, bảo sao thấy quay clip gập đôi áo vào","Negative"
"Thời gian giao hàng rất nhanh","Positive"
"Công nghệ hơi lạ, ko biết có bền ko","Neutral"
"Gối hơi nhỏ","Negative"
"Áo nhìn xinh , shop nói chuyện cực đáng yêu","Positive"
"Chất lượng sản phẩm tạm được.chiều dài áo ngắn quá","Neutral"
"Mùi len hơi nặng đã giặt nhưng vẫn còn nặng mùi","Negative"
"Vải oke lắm luôn","Positive"
"Sản phẩm tạm được, đóng gói không đẹp","Negative"
"Chưa thấy shop nào hãm l thế này","Negative"
"sản phẩm rất ok, kể cả áo trong của nữ chất vải cũng mềm đẹp, mang lên sang chảnh, tui mình diện đi sinh nhật ai cũng khen đẹp đôi, nói chung là rất hài lòng","Positive"
"Tầm giá là sử dụng tot","Positive"
"Không dùng được","Negative"
"Chất lượng sản phẩm tạm được áo hơi ngắn so với hình","Negative"
"Sản phẩm tôt giao hang nhanh","Positive"
"Hàng bình thường","Neutral"
"K con duong nao de che","Negative"
"Chất vải ok dày dặn","Positive"
"Ưng","Positive"
"Nay mua thêm 1 combo nữa","Neutral"
"áo dep lam shop ui.mình rat thix","Positive"
"Thời gian giao hàng nhanh","Positive"
"Rất ưng hiii","Positive"
"K giao","Negative"
"Màu sắc k giống hình","Negative"
"Áo vải quá xấu","Negative"
"Nói chung là mình mua mặc đi làm ok, đáng tiền","Positive"
"Shop nhiệt tình giúp đỡ, chất lượng quần thì khỏi chê, dài rộng gì cũng vừa ý mình hết","Positive"
"Yêu cầu đổi trả Shop yêu cầu gửi ảnh, gửi cho r im lặng","Negative"
"Thời gian giao hàng rất nhanh Rất đáng tiền Shop phục vụ rất tốt Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn","Positive"
"Hàng kém chất lượng và không như quảng cáo","Negative"
"Shop phục vụ rất tốt","Positive"
"Nói chung là không thất vọng đâu","Positive"
"Chất lượng sản phẩm tuyệt vời","Positive"
"Sản phẩm giống hình","Neutral"
"Giầy hơi cứng Chất lượng sản phẩm tạm được","Neutral"
"Sờ chất quần thì Ok luôn","Positive"
"Vay đẹp kỹ,tu van nhiet tinh","Positive"
"Y hình","Positive"
"Nt ko trả lời","Negative"
"Chất lượng vừa với giá tiền","Positive"
"Sẽ ủng hộ shop dài","Positive"
"Hàng chất lượng hơn giá sản phẩm nhak mọi người","Positive"
"Áo rách ntn ko hiểu phải mặc ntn luôn","Negative"
"nhưng cũng phù hợp với giá tiền, mặc vẫn ok","Positive"
"Đồ mặc vừa.Thun hơi ôm dễ thấy bụng.😀","Positive"
"Chọn màu này lấy màu kia","Negative"
"hàng tương đối ổn,mình khá hài lòng","Positive"
"Inbox ko thèm trả lời","Negative"
"Mình mua 2 chai về tàng trữ dần vì loại này vừa tẩy sạch vừa không dễ gây mụn như dầu tẩy trang","Positive"
"Mất uy tín","Negative"
"Màu ngoài ko giống trong ảnh nhưng chất lượng khá ok với giá","Positive"
"Rất ưng","Positive"
"shop giao hàng nhanh, gửi đúng màu, áo giống hình, mặc dù chất vải ko đẹp như mong muốn nhưng vẫn cho shop 5*","Positive"
"Shop phục vụ rất tốt, Thời gian giao hàng rất nhanh","Positive"
"giày đẹp lắm . giao hàng lâu quá mun điên","Positive"
"Shop giao siêu nhanh","Positive"
"Giao hàng nhanh","Positive"
"Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền Thời gian giao hàng tạm được Đáng đồng tiền","Positive"
"Chất lượng sản phẩm tuyệt vời","Positive"
"Vừa ý","Positive"
"4 quần size L nhưng lại bị cái to cái bé, còn với giá tiền nvay thì cũng k mong chất đẹp hơn","Positive"
"Shop phục vụ rất tốt Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh","Positive"
"Nhưng ko sao tks shop","Positive"
"Chất lượng sp tốt nhưng giao hàng chậm onl cũng chẳng trả lời gì","Positive"
"Vài thun rất mỏng ko fai len","Negative"
"Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt.👍👍👍","Positive"
"Đóng gói sản phẩm chắc chắn , shop giao hàng nhanh , nhận ngay 20/10 😂 về sp thì chất vải cũng đc, hợp mặc mùa thu.áo đẹp nhưng mà shop nên kiểm tra kĩ Sp đi ạ 😐 áo thì cứ vài chỗ lại có vết bẩn xong lại có màu xanh xanh ở gần đuôi áo 😐 chưa kể lúc mở hàng ra thì bị ngay cái dằm suýt đâm vào tay😒","Positive"
"Shop giao hàng cực nhanh lun trưa hom qua đặt mà trưa nay đã giao","Positive"
"Thêm tin tưởng vào shoppe","Positive"
"Áo vải đẹp mịn mát ❤","Positive"
"Chất lượng sản phẩm tuyệt vời; Thời gian giao hàng rất nhanh","Positive"
"Chủ shop nhiệt tình","Positive"
"Rất đáng tiền","Positive"
"Sản phẩm rất đẹp","Positive"
"Hơi thô","Negative"
"Vãi rất mỏng","Negative"
"Hàng y như hình","Neutral"
"Đẹp lại rẻ","Positive"
"Chất lượng sản phẩm tuyệt vời Ưng sẽ ủng hộ shop dài giao hàng nhanh","Positive"
"Quay lại sửa đánh giá sau khi tung tăng mặc váy diện muôn nơi ~ váy chất k có gì để chê, tuyệt vời, dày dặn, mặc đúng kiểu chùm chân mình thích, che được mông, cạp cao, mặc lên eo ót với cả chân dài cả mét :)) tuyệt vời cho 1 chiếc váy 159k","Positive"
"Ao mặc đẹp, chất đẹp . thời gian giao hàng rất nhanh","Positive"
"Giao hàng rất nhanh, aó đẹp, nói chung rất hài lòng","Positive"
"Đặt xanh đậm mà giao mảu xám , thất vọng quá,màu thấy củ xèm","Negative"
"Quả ko đẹp Chất lượng sản phẩm tạm được","Negative"
"Áo chất đẹp, shop phục vụ tốt","Positive"
"Đóng gói sản phẩm chắc chắn","Positive"
"Tôi rất hài lòng về sản phẩm","Positive"
"Chất lượng sản phẩm tuyệt vời rất ưng ý đồ đẹp","Positive"
"Shop lam ăn không uy tín.. sảm phẩm thì dỗm.. chát thì chặn","Negative"
"Hàng rất ok 👍","Positive"
"CL phù hợp giá tiền","Neutral"
"Đúng hình ảnh, đẹp","Positive"
"Mẫu cũng đa dạng","Positive"
"Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn","Positive"
"Hết hàng thì phải báo với khách chứ đằng này vẫn giao","Negative"
"Ban đầu mình nghĩ là ren mỏng, nhưng nhận đc thì thấy ren đẹp hơn mình tưởng tượng","Positive"
"Đẹp, vừa ý..","Positive"
"Tuyệt ạ ... giày nhẹ êm","Positive"
"Đúng mỗi 1 màu","Negative"
"Sản phẩm chất lượng","Positive"
"Cổ áo bị rách shop nên ktra kĩ trc khi giao, mình 40kg cao 1,55m mà mặc hơi chật","Negative"
"Đóng gói kỹ","Positive"
"Gói hàng cẩn thận","Positive"
"Cảm ơn shop nhìu","Positive"
"Đây là lần thứ 2 mua sp của shop , giày đẹp , cách phục vụ tốt 😊 sẽ ủng hộ shop nhiều nữa","Positive"
"Son lên màu đẹp không bị khô cứng và lộ vân môi như màu 12 Rất đáng tiền","Positive"
"Cảm ơn shop nhé","Positive"
"Giống hình mà vải hơi cứng bạn ạk","Positive"
"Chất áo đẹp lắm, yêu shop","Positive"
"Quần của shop quá đẹp luôn","Positive"
"Minh lay sz lớn nhất cho rộng roi , sz xxl mà nhìn thay bé hơn quần củ , chồng mình 72kg , sp chất thì nhìn tốt Đóng gói sản phẩm rất đẹp và chắc chắn","Positive"
"Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh Rất đáng tiền","Positive"
"Chất thì ok nhưng cổ áo ko giống hình.cổ áo ko rộng mà ôm","Neutral"
"Đặt 2 quần dài mà đóng gói cho 1 quần ngố","Negative"
"Khuyến khích cho 5*","Positive"
"Nét chữ không được rõ, sp có mùi hơi kinh","Negative"
"Mặc phối với chân váy hay jean đều đẹp","Positive"
"Nhưng GHTK thu tròn 110.000 đ","Negative"
"Không giống hình cho lắm nhưng chất lượng cũng OK ,Mua 3 mà mỗi sp này là đc","Neutral"
"Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn.sácg hay","Positive"
"Đóng gói sp chắc chắn, giao hàng rất nhanh","Positive"
"Chất lượng sản phẩm kém không giống như mô tả","Negative"
"Đáng tiền","Positive"
"Váy mặc siêu xinh","Positive"
"Thời gian giao hàng rất nhanh hàng y hình","Positive"
"Vải thì rất đẹp","Positive"
"Tiền nào cũa náy","Neutral"
"Gooddd","Positive"
"Áo rộng hơn hình nhiều","Negative"
"Đóng gói sản phẩm rất đẹp và chắc chắn","Positive"
"kem bên trong là màu trắng khác với kem ngày là màu vàng nhẹ .thời gian giao hàng chậm","Neutral"
"Áo from rộng như ảnh","Positive"
"Chất liệu vải ổn.nhưng hơi rộng","Neutral"
"Ship ko đúng màu","Negative"
"vãi nĩ dày . nóng","Negative"
"Shop phục vụ rất tốt, chất lượng sp ok","Positive"
"ngon đấy, nhưng đang ăn thì ăn phải cọng thun","Negative"
"Khá ok 😉 sẽ ủng hộ shop tiếp","Positive"
"Đẹp lắm nha","Positive"
"Áo vừa quá","Positive"
"Thời gian giao hàng nhanh","Positive"
"Áo đẹp lắm b ơi","Positive"
"Màu thì ko thực sự giống trong hình","Negative"
"Chất lượng vải kém ko như hình","Negative"
"Đã quay Video và chụp ảnh nhưng shop không phản hồi","Negative"
"Quần thoải mái, vừa vặn, đẹp Shop phục vụ rất tốt","Positive"
"Vận chuyển hàg k nhắt lót vào cặp, nên cắp bị méo mất dág","Negative"
"giao 2 sp.trat lat het 2 sp.minh la de chiu nhat hi ua hang.hoi that vong","Negative"
"Ngày qua flash sale 39k/ chai, hết flash lên 55k xong 50k","Neutral"
"Đóng gói sản phẩm rất đẹp và chắc chắn","Positive"
"Chất dc","Positive"
"Chất lượng sản phẩm tuyệt vời, hợp với giá tiền, sờ siêu thích, màu random nhưng đẹp lắm ạ","Positive"
"Mật ong loãng, ko đặc sánh lắm","Negative"
"Sẽ tiếp tục ủng hộ shop dài lâu","Positive"
"Dép đi êm và mềm","Positive"
"Váy đẹp, vải thì mình thấy pha nilon nên hơi nóng","Neutral"
"Chất tạm dc tương sứng giá tiền","Positive"
"Giao hàng và chăm sóc tận tình","Positive"
"giá tốt. nhưng giao hàng chậm quá. không có số đt liên hệ khi cần gấp","Neutral"
"Shop cho doi tra ok","Neutral"
"Thật sự mình quá ưng cho 1 sp rẻ mà chất lượng","Positive"
"Lọc ổn nhưng hi vọng shop đóng hàng kĩ hơn","Positive"
"Vải mỏng, thô hơn mình tưởng tượng","Neutral"
"Giao hàng nhanh","Positive"
"Thời gian giao hàng nhanh Chất lượng sản phẩm tốt Đóng gói sản phẩm chắc chắn Shop phục vụ khá tốt","Positive"
"áo màu sắc tươi sáng, vải chất ạ","Positive"
"Shop rất thái độ với khách hàng","Negative"
"bị chật ngắn","Negative"
"Shop phục vụ rất tốt Thời gian giao hàng rất nhanh Chất lượng sản phẩm tuyệt vời Rất đáng tiền","Positive"
"Được tốt","Positive"
"Chất lượng sản phẩm tuyệt vời","Positive"
"Chất lượng sp qá tệ","Negative"
"Chủ shop nhiệt tình dễ thương","Positive"
"Giao hàng nhanh,","Positive"
"Đàn nhìn cưng lắm 🎶🎵🎶","Positive"
"Chất lượng sản phẩm tuyệt vời quần hơi mỏng ạ","Positive"
"Chất lượng sản phẩm rất kém Shop phục vụ rất kém Rất không đáng tiền,Shop phục vu qua kem , nhan tin ve so Tien se hoan lai thi khong thay tra lỏi gì het","Negative"
"Nhưng khá ok rồi","Positive"
"Hihi ưng lắm ạ giày đẹp lắm nha m.n đi êm mà dễ phối đồ cực","Positive"
"Chả ra gì cả .chất lượng kém","Negative"
"Gui sai một sp còn lại chất lượng tốt","Neutral"
"Chất rất oke","Positive"
"Rất ưng, mặc thoải mái mà chất vải rất thích","Positive"
"Nhưng mà shop nói có tặng kèm dây đàn mà mình nhận được không có ạ","Negative"
"Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh rất ưng","Positive"
"Rất ưng ý ;) sẽ tiếp tục mua để ủng hộ shop","Positive"
"Chứ nhận hàng hết cả hồn ngâm xà bông chà mãi vẫn k sạch","Negative"
"Ai thik mua,chọn size lớn hơn 2size ok hơn","Positive"
"Đẹp hút hồn","Positive"
"Giao hàng cũng nhanh ^^","Positive"
"Giá còn rẻ","Positive"
"Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tốt Đóng gói sản phẩm rất đẹp và chắc chắn","Positive"
"Sản phẩm bị ỉu,không giòn và cũng không có thời hạn sử dụng trên bao bì","Negative"
"Không tốt chất liệu sấu","Negative"
"Chất lượng sản phẩm tuyệt vời, shop này uy tín quá","Positive"
"Vải kate thun mỏng nhẹ mát","Positive"
"Chất lượng sản phẩm tuyệt vời.Đóng gói sản phẩm rất đẹp và chắc chắn.shop phục vụ rất tốt","Positive"
"Chất vải được","Positive"
"Sản phẩm đẹp ,ổn .chắc chắn mà lại rẻ hơn so vs mình mua ngoàí shop đắt mà mặc chưa đc 1 hôm đã đứt khuy","Positive"
"Áo sơ mi đẹp, giống hình","Neutral"
"Đóng gói đẹp, giao đúng hàng, sp chất lượng, giá tốt... rất hài lòng shop ơi, sẽ tiếp tục ủng hộ nè","Positive"
"Tuy nhiên mình mua 2 cái thì cái size L ở tay áo bị viết số màu xanh lên chỗ tay áo mình giặt ko ra","Negative"
"Shop đóng gói cẩn thận, có kèm 1 tờ thiệp và 1 tờ rơi giới thiệu nữa. 😀","Positive"
"Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vờiO","Positive"
"Ko ưng y lam","Negative"
"Shoppe nên coi lại chọn người bán cho c9s kinh nghiệm chút","Negative"
"Chất lượng sản phẩm tuyệt vời","Positive"
"Giờ chẳng biết làm gì với cái áo đó","Negative"
"Ncl rất ưng","Positive"
"Thời gian giao hàng rất nhanh","Positive"
"Kem thẩm thấu rất nhanh, thoa xong sáng dậy có cảm giác căng da và mịn hơn , còn việc chống lão hóa thì phải xài hết mới biết kết quả","Positive"
"chất lượng ok,mỗi tội bụng rộng quá.lại phải sửa","Neutral"
"Shop phục vụ rất tốt","Positive"
"Chất áo mỏngg","Neutral"
"Chất lượng sản phẩm tuyệt vời .Đóng gói sản phẩm rất đẹp và chắc chắn","Positive"
"Đóng gói sản phẩm tốt, cần thêm hộp đựng sẽ tốt hơn","Positive"
"chất liệu vải thì cũng tạm được. chán cái đường chỉ 1 cái thì bục chỉ ở túi còn 1 cái máy cả vào chun","Negative"
"Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn , áo khá to so với mình, nên bạn nào muốn mua size L mà tướng người nhỏ bé thì nên chọn soze M nha : , được tặng móc khóa hình Jinmin thích lắmm ><","Positive"
"Hàng chuẩn, uy tín","Positive"
"Mua 2 chai mà mới xịt dc 1 lần thì hư mất cái nắp!","Neutral"
"Thời gian giao hàng rất nhanh","Positive"
"Đặt hàng ko giao hàng là Sao vậy á","Negative"
"Hơi mỏng :)) k như mong đợi","Negative"
"Ủng hộ shop ngàn sao luôn nè 😋😋","Positive"
"Hic","Negative"
"Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn, chủ s nhiệt tình, vui tính","Positive"
"Giao hàng nhanh","Positive"
"Chất lượng khá tốt","Positive"
"Vải dày và co giãn tốt","Positive"
"Nhưng nếu màu hồng tươi thì ok","Positive"
"Vải rất đẹp","Positive"
"Chất lượng sản phẩm tốt Đóng gói sản phẩm chắc chắn Shop phục vụ khá tốt Thời gian giao hàng hơi chậm","Neutral"
"Áo này dày hơn và chất đẹp hơn cái màu trắng mk mua","Positive"
"Mình 50kg bầu 4 tháng mua size 2XL mà mặc vừa zin,dáng quần đẹp,mấy nữa bụng to tí phải mua size to hơn thôi :)","Neutral"
"Chất lượng sản phẩm tuyệt vời","Positive"
"Nỉ ấm và dày","Positive"
"Có chút trục trặc nhưng sửa lại thì vẫn đẹp","Positive"
"Chất lượng sản phẩm tuyệt vời","Positive"
"Chất áo đẹp, lên dáng ok, mỗi tội mặc hơi ngứa 1 tí Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh","Positive"
"Giao lâu","Negative"
"Chất dai đanh và lì mặt","Neutral"
"Giao hàg thì thôi nhah khỏi nói","Positive"
"Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh Vải áo hơi mỏng","Positive"
"Muốn làm đại lý sỉ","Positive"
"San phạm nay vua Shopee qua do mua ve toi k xay dc ngay ca khoai tay nau chín ma xay con k Nhuyễn nua","Neutral"
"Size hơi to nhỉ 45kg -1m50 size S rồi mà hơi rộng","Positive"
"Chất lượng sản phẩm tạm được, trượt cơ học khá dít gây khó khăn cho sử dụng","Negative"
"Nhưng áo khiến mình hơi thất vọng","Negative"
"Mặc khá xinh nhưng chất vải xấu, mỏng, cứng","Negative"
"Chất lượng sản phẩm phù hợp vs giá","Positive"
"Mới dùng chất lượng OK","Positive"
"Thời gian giao hàng rất nhanh","Positive"
"Mua ba cái thấy ok","Positive"
"Đẹp quá ủng hộ shop lâu dài","Positive"
"Áo mặc ok lắm mọi người cứ tin tưởng mua hàng nhé","Positive"
"Dù sao với 160k thì chất lượng như vậy là quá được","Positive"
"đẹp dã man thế này","Positive"
"Áo xinh lắm nhé mấy nàng ❤ với giá này thì áo vậy là đẹp rồi","Positive"
"Khô gà bị mặn, cả nhà mình đều kêu vậy.","Negative"
"Giao hàng nhanh","Positive"
"Áo rất ấm","Positive"
"Hơi thất vọng","Negative"
"Chất lượng sp tuyệt vời","Positive"
"Huhuu, sr vì bh mới xác nhận đã nhận hàng :( quên béng đi mất","Negative"
"C Chất lượng sản phẩm tuyệt vời Rất đáng tiền Thời gian giao hàng rất nhanh","Positive"
